div_a,div_b
A,B
A,G
A,H
A,I
A,N
A,O
B,C
B,I
B,J
B,V
C,D
C,F
C,G
C,I
C,J
C,K
D,E
D,G
D,I
D,U
E,F
E,G
E,I
E,L
E,P
E,U
E,W
F,G
F,I
F,J
F,K
G,H
G,I
G,K
H,I
H,N
H,O
H,P
H,T
I,J
I,K
I,L
I,O
I,Q
I,U
J,K
K,O
K,P
K,Q
K,R
K,W
L,R
L,S
L,U
M,P
M,Q
M,W
N,K
N,O
N,P
O,P
O,Q
O,R
P,Q
P,R
P,T
P,U
P,V
P,W
Q,T
S,T
S,U
T,R
T,U
T,W
U,R
U,V
U,W
