organisationName_alias,organisationName,HEP,state,institution_arc,institution_name,institution_id,hep_code
St. Vincent's Institute of Medical Research,St Vincent's Institute of Medical Research,,VIC,,,,
Swinburne University of Technology,Swinburne University of Technology,y,VIC,Swinburne University of Technology,Swinburne University of Technology,https://openalex.org/I57093077,SUT
The Australian Academy of the Humanities,Australian Academy of the Humanities,,ACT,,,,
The Australian Institute of Marine Science,Australian Institute of Marine Science,,QLD,,,,
The Australian Museum,The Australian Museum,,NSW,The Australian Museum,Australian Museum,https://openalex.org/I1328215151,
The Australian National University,The Australian National University,y,ACT,The Australian National University,Australian National University,https://openalex.org/I118347636,ANU
The Australian National University Institute of Advanced Studies,The Australian National University,y,ACT,The Australian National University,Australian National University,https://openalex.org/I118347636,ANU
The Bionic Ear Institute,The Bionic Ear Institute,,VIC,,,,
The Flinders University of South Australia,Flinders University,y,SA,Flinders University,Flinders University,https://openalex.org/I169541294,FLI
The Heart Research Institute,The Heart Research Institute,,NSW,,,,
The Howard Florey Institute,The Howard Florey Institute,,VIC,The Florey Institute of Neuroscience and Mental Health,Florey Institute of Neuroscience and Mental Health,https://openalex.org/I242743682,
The Mental Health Research Institute of Victoria,The Mental Health Research Institute of Victoria,,VIC,THE MENTAL HEALTH RESEARCH INSTITUTE PTY LTD,Mental Health Research Institute,https://openalex.org/I139829854,
The University of Adelaide,The University of Adelaide,y,SA,The University of Adelaide,University of Adelaide,https://openalex.org/I5681781,UA
The University of Melbourne,The University of Melbourne,y,VIC,The University of Melbourne,University of Melbourne,https://openalex.org/I165779595,UM
The University of New England,The University of New England,y,NSW,The University of New England,University of New England,https://openalex.org/I90745801,UNE
The University of New South Wales,The University of New South Wales,y,NSW,The University of New South Wales,UNSW Sydney,https://openalex.org/I31746571,UNSW
The University of Newcastle,The University of Newcastle,y,NSW,The University of Newcastle,University of Newcastle Australia,https://openalex.org/I78757542,UON
The University of Notre Dame Australia,The University of Notre Dame Australia,y,WA,The University of Notre Dame Australia,The University of Notre Dame Australia,https://openalex.org/I93396115,UNDA
