cluster_id,n_grants,names,orcids,institutions,for_names,grant_ids,confirmed_different_people,notes
LP0348834_PenelopeBundy,4,Penelope Bundy,,Griffith University; The University of Melbourne,Performing arts,LP0348834_PenelopeBundy; LP0776532_PenelopeBundy; LP0562431_PenelopeBundy; LP100100411_PenelopeBundy,,
DP220101125_AnaVilaConcejo,4,Ana Vila Concejo,0000-0003-4069-3094,The University of Sydney; The University of New South Wales,Environmental management; Geology; Maritime engineering,DP220101125_AnaVilaConcejo; LP180100732_AnaVilaConcejo; LP0668979_AnaVilaConcejo; FT100100215_AnaVilaConcejo,,
LP110200118_OmarHussain,4,Omar Hussain,0000-0002-5738-6560,Griffith University; Curtin University; The University of New South Wales,"Artificial Intelligence; Marketing; Strategy, management and organisational behaviour",LP230100379_OmarHussain; LP160100080_OmarHussain; LP150101058_OmarHussain; LP110200118_OmarHussain,,
DP0211650_LindsayBotten,4,Lindsay Botten,0000-0001-6471-6954,University of Technology Sydney; The University of Sydney,"Atomic, molecular and optical physics; Communications engineering",DP0211650_LindsayBotten; LP0211670_LindsayBotten; DP110105484_LindsayBotten; DP0987571_LindsayBotten,,
DP0451650_NandanParameswaran,4,Nandan Parameswaran,,The University of New South Wales; The University of Newcastle,"Information systems; Library and information studies; Strategy, management and organisational behaviour",LP0347156_NandanParameswaran; DP0770719_NandanParameswaran; LP0562703_NandanParameswaran; DP0451650_NandanParameswaran,,
DP150102354_JoseToreroCullen,4,Jose Torero Cullen,,The University of Sydney; The University of Queensland; The University of Melbourne,Architecture; Civil engineering; Environmental engineering,LP160100893_JoseToreroCullen; DP150102354_JoseToreroCullen; LP140100504_JoseToreroCullen; LP130100941_JoseToreroCullen,,
DP0986025_TaraHamilton,4,Tara Hamilton,0000-0003-2630-7011,The University of New South Wales; Western Sydney University,Electrical engineering; Performing arts,LP180100697_TaraHamilton; DP180100504_TaraHamilton; LP100200275_TaraHamilton; DP0986025_TaraHamilton,,
DP110100091_MoeWynn,4,Moe Wynn,0000-0002-7205-8821,Queensland University of Technology; The University of Melbourne,Applied mathematics; Information systems,LP180100542_MoeWynn; DP150103356_MoeWynn; DP120101624_MoeWynn; DP110100091_MoeWynn,,
DP1095053_BradleyPillans,4,Bradley Pillans,0000-0002-8373-635X,The Australian National University; University of Wollongong,Physical geography and environmental geoscience,DP200101591_BradleyPillans; LP140100911_BradleyPillans; LP120200626_BradleyPillans; DP1095053_BradleyPillans,,
DP0770388_MalgorzataOReilly,4,Malgorzata O'Reilly,0000-0003-3898-3957,University of Tasmania; The University of Melbourne; The University of Adelaide,Statistics,DP0770388_MalgorzataOReilly; DP180100352_MalgorzataOReilly; LP140100152_MalgorzataOReilly; DP110101663_MalgorzataOReilly,,
DP0770426_BramSlagmolen,4,Bram Slagmolen,0000-0002-2471-3828,The Australian National University; The University of Adelaide,"Astronomical sciences; Electronics, Sensors and Digital Hardware; Medical and biological physics",DP250104537_BramSlagmolen; DP0770426_BramSlagmolen; DP150103359_BramSlagmolen; FT130100329_BramSlagmolen,,
DP0879812_JenniferChalmers,4,Jennifer Chalmers,0000-0002-7637-6368,The University of Melbourne; The University of New South Wales; Australian Catholic University; The University of New England,Criminology; Policy and administration; Sociology,DP0879812_JenniferChalmers; LP0669071_JenniferChalmers; DP150100864_JenniferChalmers; LP110100263_JenniferChalmers,,
DP0880637_CecilyFreemantle,4,Cecily Freemantle,,The University of Melbourne; The University of Western Australia; Monash University; The University of Adelaide,Health services and systems; Legal systems; Sociology,DP0880637_CecilyFreemantle; LP0882394_CecilyFreemantle; LP0455417_CecilyFreemantle; LP120100160_CecilyFreemantle,,
