variant,counterpart
(erfurt/goettingen),(erfurt/gottingen)
(erfurt/gottingen),(erfurt/goettingen)
(ergaenzen),(erganzen)
(erganzen),(ergaenzen)
(erlangen/nuernberg),(erlangen/nurnberg)
(erlangen/nurnberg),(erlangen/nuernberg)
(erwaehnt,(erwahnt
(erwahnt,(erwaehnt
(ettelbruck),(ettelbrueck)
(ettelbrueck),(ettelbruck)
(fakultaet,(fakultat
(fakultat,(fakultaet
(federfuehrend),(federfuhrend)
(federfuehrender,(federfuhrender
(federfuehrung),(federfuhrung)
(federfuhrend),(federfuehrend)
(federfuhrender,(federfuehrender
(federfuhrung),(federfuehrung)
(fernuniversitaet,(fernuniversitat
(fernuniversitat,(fernuniversitaet
(fraeesila),(fraeesilae)
(fraeesila),(fraesila)
(fraeesila),(fraesilae)
(fraeesilae),(fraeesila)
(fraeesilae),(fraesila)
(fraeesilae),(fraesilae)
(fraenk),(frank)
(fraesila),(fraeesila)
(fraesila),(fraeesilae)
(fraesila),(fraesilae)
(fraesilae),(fraeesila)
(fraesilae),(fraeesilae)
(fraesilae),(fraesila)
(frank),(fraenk)
(frueher,(fruher
(fruher,(frueher
(frunza),(frunzae)
(frunzae),(frunza)
(fueloep),(fuelop)
(fueloep),(fuloep)
(fueloep),(fulop)
(fuelop),(fueloep)
(fuelop),(fuloep)
(fuelop),(fulop)
(fuerth),(furth)
(fuloep),(fueloep)
(fuloep),(fuelop)
(fuloep),(fulop)
(fulop),(fueloep)
(fulop),(fuelop)
(fulop),(fuloep)
(furth),(fuerth)
(gaelbeaza),(gaelbeazae)
(gaelbeaza),(galbeaza)
(gaelbeaza),(galbeazae)
(gaelbeazae),(gaelbeaza)
(gaelbeazae),(galbeaza)
(gaelbeazae),(galbeazae)
(gaesteredaktoer),(gaesteredaktor)
(gaesteredaktor),(gaesteredaktoer)
(galbeaza),(gaelbeaza)
(galbeaza),(gaelbeazae)
(galbeaza),(galbeazae)
(galbeazae),(gaelbeaza)
(galbeazae),(gaelbeazae)
(galbeazae),(galbeaza)
(gangzhuen),(gangzhun)
(gangzhun),(gangzhuen)
(geisler),(geissler)
(geissler),(geisler)
(gennadia-),(gennadiae-)
(gennadiae-),(gennadia-)
(gepeszmernoek,(gepeszmernok
(gepeszmernok,(gepeszmernoek
(geschaeftsfuehrend),(geschaeftsfuhrend)
(geschaeftsfuehrend),(geschaftsfuehrend)
(geschaeftsfuehrend),(geschaftsfuhrend)
(geschaeftsfuehrender,(geschaeftsfuhrender
(geschaeftsfuehrender,(geschaftsfuehrender
(geschaeftsfuehrender,(geschaftsfuhrender
(geschaeftsfuehrer,(geschaeftsfuhrer
(geschaeftsfuehrer,(geschaftsfuehrer
(geschaeftsfuehrer,(geschaftsfuhrer
(geschaeftsfuhrend),(geschaeftsfuehrend)
(geschaeftsfuhrend),(geschaftsfuehrend)
(geschaeftsfuhrend),(geschaftsfuhrend)
(geschaeftsfuhrender,(geschaeftsfuehrender
(geschaeftsfuhrender,(geschaftsfuehrender
(geschaeftsfuhrender,(geschaftsfuhrender
(geschaeftsfuhrer,(geschaeftsfuehrer
(geschaeftsfuhrer,(geschaftsfuehrer
(geschaeftsfuhrer,(geschaftsfuhrer
(geschaftsfuehrend),(geschaeftsfuehrend)
(geschaftsfuehrend),(geschaeftsfuhrend)
(geschaftsfuehrend),(geschaftsfuhrend)
(geschaftsfuehrender,(geschaeftsfuehrender
(geschaftsfuehrender,(geschaeftsfuhrender
(geschaftsfuehrender,(geschaftsfuhrender
(geschaftsfuehrer,(geschaeftsfuehrer
(geschaftsfuehrer,(geschaeftsfuhrer
(geschaftsfuehrer,(geschaftsfuhrer
(geschaftsfuhrend),(geschaeftsfuehrend)
(geschaftsfuhrend),(geschaeftsfuhrend)
(geschaftsfuhrend),(geschaftsfuehrend)
(geschaftsfuhrender,(geschaeftsfuehrender
(geschaftsfuhrender,(geschaeftsfuhrender
(geschaftsfuhrender,(geschaftsfuehrender
(geschaftsfuhrer,(geschaeftsfuehrer
(geschaftsfuhrer,(geschaeftsfuhrer
(geschaftsfuhrer,(geschaftsfuehrer
(gesprachsleiter),(gespraechsleiter)
(gesprachsleitung),(gespraechsleitung)
(gespraechsleiter),(gesprachsleiter)
(gespraechsleitung),(gesprachsleitung)
(giesen,(giessen
(giesen),(giessen)
(giessen,(giesen
(giessen),(giesen)
(gnpo),(gnpoe)
(gnpoe),(gnpo)
(goek),(gok)
(goekce),(gokce)
(goekkurt),(gokkurt)
(goeksungur),(goksungur)
(goenuel),(goenul)
(goenuel),(gonuel)
(goenuel),(gonul)
(goenueltas),(goenultas)
(goenueltas),(gonueltas)
(goenueltas),(gonultas)
(goenul),(goenuel)
(goenul),(gonuel)
(goenul),(gonul)
(goenultas),(goenueltas)
(goenultas),(gonueltas)
(goenultas),(gonultas)
(goeran),(goran)
(goeren),(goren)
(goerkem),(gorkem)
(goerlitz),(gorlitz)
(goerres),(gorres)
(goeteborg),(goteborg)
(goett.),(gott.)
(goettel),(gottel)
(goettingen,(gottingen
(goettingen),(gottingen)
(goetz),(gotz)
(goevce),(govce)
(goezde),(gozde)
(goezu),(goezue)
(goezu),(gozu)
(goezu),(gozue)
(goezue),(goezu)
(goezue),(gozu)
(goezue),(gozue)
(gok),(goek)
(gokce),(goekce)
(gokkurt),(goekkurt)
(goksungur),(goeksungur)
(gonuel),(goenuel)
(gonuel),(goenul)
(gonuel),(gonul)
(gonueltas),(goenueltas)
(gonueltas),(goenultas)
(gonueltas),(gonultas)
(gonul),(goenuel)
(gonul),(goenul)
(gonul),(gonuel)
(gonultas),(goenueltas)
(gonultas),(goenultas)
(gonultas),(gonueltas)
(goran),(goeran)
(goren),(goeren)
(gorkem),(goerkem)
(gorlitz),(goerlitz)
(gorres),(goerres)
(goteborg),(goeteborg)
(gott.),(goett.)
(gottel),(goettel)
(gottingen,(goettingen
(gottingen),(goettingen)
(gotz),(goetz)
(govce),(goevce)
(gozde),(goezde)
(gozu),(goezu)
(gozu),(goezue)
(gozu),(gozue)
(gozue),(goezu)
(gozue),(goezue)
(gozue),(gozu)
(grobenzell),(groebenzell)
(groebenzell),(grobenzell)
(grosbritannien),(grossbritannien)
(groserlach),(grosserlach)
(groskopf),(grosskopf)
(grossbritannien),(grosbritannien)
(grosserlach),(groserlach)
(grosskopf),(groskopf)
(guel,(gul
(guelcan),(gulcan)
(guelnar),(gulnar)
(guelseba),(gulseba)
(guemuestepe),(guemustepe)
(guemuestepe),(gumuestepe)
(guemuestepe),(gumustepe)
(guemustepe),(guemuestepe)
(guemustepe),(gumuestepe)
(guemustepe),(gumustepe)
(guenay,(gunay
(guenduez),(guenduz)
(guenduez),(gunduez)
(guenduez),(gunduz)
(guenduz),(guenduez)
(guenduz),(gunduez)
(guenduz),(gunduz)
(guenes),(gunes)
(guengoer),(guengor)
(guengoer),(gungoer)
(guengoer),(gungor)
(guengor),(guengoer)
(guengor),(gungoer)
(guengor),(gungor)
(guenther),(gunther)
(guerhan),(gurhan)
(guerkan),(gurkan)
(guertas),(gurtas)
(gueven),(guven)
(guevenc),(guvenc)
(gul,(guel
(gulcan),(guelcan)
(gulnar),(guelnar)
(gulseba),(guelseba)
(gumuestepe),(guemuestepe)
(gumuestepe),(guemustepe)
(gumuestepe),(gumustepe)
(gumustepe),(guemuestepe)
(gumustepe),(guemustepe)
