cluster_id,split,n_grants,names,orcids,institutions,for_names,grant_ids,confirmed_different_people,notes
DP150104006_JonathonOlley,1,5,Jonathon Olley,,Griffith University; The University of Queensland,Archaeology; Ecological Applications; Physical Geography and Environmental Geoscience,LP170100789_JonathonOlley; DP150104006_JonathonOlley; LP140100419_JonathonOlley; LP120200093_JonathonOlley; LP130100748_JonathonOlley,,
DP0343334_MichaelMorwood,1,5,Michael Morwood,,University of Wollongong; The University of New England; Macquarie University,Archaeology; Geology,DP0343334_MichaelMorwood; DP0770234_MichaelMorwood; DP1093342_MichaelMorwood; LP0991845_MichaelMorwood; DP1093049_MichaelMorwood,,
DP0451254_GregoryBaxter,1,4,Gregory Baxter,,The University of Queensland; The University of Melbourne; Victoria University,Communications Technologies; Ecological Applications; Optical Physics,DP0878268_GregoryBaxter; DP0773999_GregoryBaxter; LP0882090_GregoryBaxter; DP0451254_GregoryBaxter,,
DP0345299_JeremyWoolley,1,4,Jeremy Woolley,,University of South Australia; The University of New South Wales,Civil Engineering; Environmental Engineering; Psychology,LP0347911_JeremyWoolley; DP0345299_JeremyWoolley; DP0453339_JeremyWoolley; LP130100270_JeremyWoolley,,
DP0878447_GregoryAcciaioli,1,4,Gregory Acciaioli,,Murdoch University; The University of Western Australia; Macquarie University,Anthropology; Law; Other Studies In Human Society; Policy and Administration,DP0878447_GregoryAcciaioli; DP0880961_GregoryAcciaioli; DP170100747_GregoryAcciaioli; DP130100051_GregoryAcciaioli,,
DP0559655_DesleyConnell,1,4,Desley Connell,,Queensland University of Technology; The University of Queensland,Building; Other Chemical Sciences; Public Health and Health Services,LP0349155_DesleyConnell; DP0559655_DesleyConnell; LP0453669_DesleyConnell; DP1095752_DesleyConnell,,
DP0211298_TimothyTurpin,1,3,Timothy Turpin,,University of Wollongong; Western Sydney University,Business and Management; Policy and Administration,LP0347328_TimothyTurpin; DP0211298_TimothyTurpin; LP0455124_TimothyTurpin,,
DP0210446_RulandeRutgers,1,3,Rulande Rutgers,,The University of Sydney; The University of Queensland,Food Sciences; Materials Engineering,LP0211915_RulandeRutgers; DP0210446_RulandeRutgers; LP0453529_RulandeRutgers,,
DE130101453_NicholasPorch,1,3,Nicholas Porch,,The Australian National University; Deakin University,Archaeology; Environmental Management; Zoology,LP230100176_NicholasPorch; DP0878694_NicholasPorch; DE130101453_NicholasPorch,,
DP0342588_WarrenSun,1,3,Warren Sun,,The University of Sydney; Monash University,Historical Studies; Political Science,DP0342588_WarrenSun; DP0878618_WarrenSun; DP130101765_WarrenSun,,
DP0343998_AlexanderRubinov,2,3,Alexander Rubinov,,Federation University Australia; The University of New South Wales,Applied Mathematics; Architecture; Numerical and Computational Mathematics,DP0343998_AlexanderRubinov; DP0450151_AlexanderRubinov; LP0669752_AlexanderRubinov,,
DP0663060_HBrennan,1,3,H Brennan,,The Australian National University; The University of Melbourne,Law; Political Science,DP210100924_HBrennan; DP0663060_HBrennan; DP120101507_HBrennan,,
DP0880637_CecilyFreemantle,1,3,Cecily Freemantle,,The University of Melbourne; Monash University; The University of Adelaide,Law; Public Health and Health Services,DP0880637_CecilyFreemantle; LP0882394_CecilyFreemantle; LP120100160_CecilyFreemantle,,
DP0663834_MikeBambach,1,3,Mike Bambach,,The University of Sydney; The University of New South Wales,Automotive Engineering; Civil Engineering; Public Health and Health Services,DP0663834_MikeBambach; DP170104916_MikeBambach; LP110100069_MikeBambach,,
DP0771059_DavidTrimm,1,3,David Trimm,,CSIRO; The University of Western Australia; The University of New South Wales,Chemical Engineering; Microbiology; Resources Engineering and Extractive Metallurgy,FF0345082_DavidTrimm; LP0776928_DavidTrimm; DP0771059_DavidTrimm,,
DP0664279_GregoryMissingham,1,3,Gregory Missingham,,Western Sydney University; RMIT University,Architecture; Design Practice and Management; Law,LP0882179_GregoryMissingham; LP0776248_GregoryMissingham; DP0664279_GregoryMissingham,,
DP0773299_EricVos,1,3,Eric Vos,,The University of Sydney; Deakin University; Monash University,Applied Economics; Public Health and Health Services,DP0773299_EricVos; LP100200057_EricVos; LP100100158_EricVos,,
DP220100584_ThinethavoneSoutphommasane,1,3,Thinethavone Soutphommasane,,The University of Sydney; The University of Melbourne; Monash University,Archaeology; Historical Studies; Sociology,DP220100584_ThinethavoneSoutphommasane; DP230100033_ThinethavoneSoutphommasane; LP110100264_ThinethavoneSoutphommasane,,
DP0559547_RudiAppels,1,3,Rudi Appels,,Murdoch University; The University of Western Australia,Computation Theory and Mathematics; Crop and Pasture Production,LP0669766_RudiAppels; DP0559547_RudiAppels; LP100200085_RudiAppels,,
DP0559497_GerhardGallery,1,3,Gerhard Gallery,,Queensland University of Technology; The University of New South Wales,"Accounting, Auditing and Accountability; Law",DP0559497_GerhardGallery; LP110200616_GerhardGallery; LP100200573_GerhardGallery,,
DP230102963_RavendraRaviNaidu,1,3,Ravendra (Ravi) Naidu; Ravendra Naidu,,University of South Australia; The University of Newcastle,Chemical Engineering; Environmental Science and Management; Materials Engineering,DP230102963_RavendraRaviNaidu; LP220100375_RavendraRaviNaidu; LP0455739_RavendraNaidu,,
DP150104066_SusanSkinner,1,3,Susan Skinner,,The University of Sydney; Western Sydney University,Communication and Media Studies; Gender Studies; Public Health and Health Services,DP200102051_SusanSkinner; DP240101695_SusanSkinner; DP150104066_SusanSkinner,,
LP0667925_JonathanOsborn,2,3,Jonathan Osborn,,Griffith University; University of Tasmania,Archaeology; Civil Engineering,LP190100194_JonathanOsborn; LP0667925_JonathanOsborn; LP100100700_JonathanOsborn,,
DP140100360_MarcusHockings,1,3,Marcus Hockings,,The University of Queensland; Charles Darwin University,Curatorial and Related Studies; Environmental Science and Management; Policy and Administration,LP0667672_MarcusHockings; DP140100360_MarcusHockings; LP120200125_MarcusHockings,,
DP110100881_TheodorusSloots,1,2,Theodorus Sloots,,The University of Sydney; The University of Queensland,Microbiology; Sociology,DP110100881_TheodorusSloots; LP0884126_TheodorusSloots,,
DP0666786_JenniferBurn,1,2,Jennifer Burn,,University of Technology Sydney; Griffith University,Historical Studies; Law,DP0666786_JenniferBurn; DP140101793_JenniferBurn,,
DP0663579_MargaretBulbeck,1,2,Margaret Bulbeck,,Murdoch University; The University of Adelaide,Historical Studies; Other Studies In Human Society,DP0663579_MargaretBulbeck; LP0561707_MargaretBulbeck,,
DP110103081_KevinKiernan,1,2,Kevin Kiernan,,The University of Queensland; The University of New England,Archaeology; Physical Geography and Environmental Geoscience,DP120102316_KevinKiernan; DP110103081_KevinKiernan,,
DP220100585_TereseHenning,1,2,Terese Henning,,University of Tasmania; The University of New South Wales,Criminology; Law,DP220100585_TereseHenning; LP0349240_TereseHenning,,
DP140103679_ValentijnPauwels,1,2,Valentijn Pauwels,,The Australian National University; Monash University,Civil Engineering; Environmental Science and Management,DP140103679_ValentijnPauwels; FT130100545_ValentijnPauwels,,
LP0667764_GregoryBattye,1,2,Gregory Battye,,University of Canberra; Western Sydney University,Architecture; Law,LP0776248_GregoryBattye; LP0667764_GregoryBattye,,
LP0209909_TimothyHorberry,1,2,Timothy Horberry,,The University of Queensland; Monash University,Psychology; Transportation and Freight Services,LP0348431_TimothyHorberry; LP0209909_TimothyHorberry,,
LP0990541_RogerBraddock,1,2,Roger Braddock,,Griffith University; Curtin University,Mechanical Engineering; Transportation and Freight Services,LP140100919_RogerBraddock; LP0990541_RogerBraddock,,
LP0990631_GoenHo,1,2,Goen Ho,,Murdoch University; Curtin University,Environmental Biotechnology; Urban and Regional Planning,LP100200380_GoenHo; LP0990631_GoenHo,,
LP110100088_DavidCahir,1,2,David Cahir,,The Australian National University; Federation University Australia,"Heritage, Archive and Museum Studies; Historical Studies",LP220100215_DavidCahir; LP110100088_DavidCahir,,
LP120200130_MathieuMartinSavelsbergh,1,2,Mathieu (Martin) Savelsbergh,,The University of Melbourne; The University of Newcastle,Applied Mathematics; Geomatic Engineering,LP140101000_MathieuMartinSavelsbergh; LP120200130_MathieuMartinSavelsbergh,,
